"state_abbr","state_fips","county_fips","county_name","tract_code","stcotr_fips","city_name","metric_name","metric_number","group_name","group_number","num","denom","est","lci","uci","data_yr_type","geo_level","date_export","version"
DC,11,001,District of Columbia,000100,11001000100,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000201,11001000201,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000202,11001000202,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000300,11001000300,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000400,11001000400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000501,11001000501,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000502,11001000502,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000600,11001000600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000701,11001000701,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000702,11001000702,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000801,11001000801,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000802,11001000802,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000901,11001000901,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,000902,11001000902,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001001,11001001001,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001002,11001001002,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001100,11001001100,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001200,11001001200,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001301,11001001301,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001302,11001001302,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001401,11001001401,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001402,11001001402,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001500,11001001500,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001600,11001001600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001702,11001001702,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001803,11001001803,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001804,11001001804,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001901,11001001901,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,001902,11001001902,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002001,11001002001,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002002,11001002002,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002101,11001002101,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002102,11001002102,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002201,11001002201,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.2,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002202,11001002202,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002301,11001002301,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002302,11001002302,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002400,11001002400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002501,11001002501,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002502,11001002502,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002600,11001002600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002701,11001002701,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002702,11001002702,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002801,11001002801,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002802,11001002802,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,002900,11001002900,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003000,11001003000,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003100,11001003100,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003200,11001003200,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003301,11001003301,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003302,11001003302,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003400,11001003400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003500,11001003500,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003600,11001003600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003700,11001003700,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003800,11001003800,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,003900,11001003900,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004001,11001004001,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004002,11001004002,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004100,11001004100,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004201,11001004201,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004202,11001004202,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004300,11001004300,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004400,11001004400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10.1,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004600,11001004600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004701,11001004701,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004702,11001004702,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004801,11001004801,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004802,11001004802,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004901,11001004901,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,004902,11001004902,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005001,11001005001,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005002,11001005002,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005201,11001005201,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005301,11001005301,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005500,11001005500,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005600,11001005600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005800,11001005800,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,005900,11001005900,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006202,11001006202,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,9.9,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006400,11001006400,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,9.9,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006500,11001006500,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006600,11001006600,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006700,11001006700,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006801,11001006801,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006802,11001006802,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006804,11001006804,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,006900,11001006900,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
DC,11,001,District of Columbia,007000,11001007000,Washington,Air pollution - particulate matter,2,total population,1,-999,-999,10,-999,-999,2015,tract,2019-09-19,7.1
